index	inventory	page	iso-639	iso-15294	comments	url
103	1632	389	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0389
104	1632	390	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0390
105	1632	391	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0391
106	1632	392	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0392
107	1632	393	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0393
108	1632	394	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0394
109	1632	395	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0395
110	1632	396	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0396
111	3658	1061	chu	220	Old Church Slavonic in Cyrillic script?? LLM identification	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3658_1061
112	3658	1062	chu	220	Old Church Slavonic in Cyrillic script?? LLM identification	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3658_1062
113	1864	957	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0957
114	1864	958	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0958
115	1864	959	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0959
116	1864	960	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0960
117	1864	961	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0961
118	1864	962	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0962
119	1864	963	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0963
120	1864	964	ta,nl	346,215	Dutch-Tamil grammar?	https://globalise-tav.tt.di.huc.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1864_0964
121	9337	679	hbo,grc,nl	200,125,215	Two short biblical quotes in (ancient) Hebrew and (classical) Greek	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_9337_0679
122	3687	539	en,ben,fas	215,600,325	Calcutta Gazette; English, Persian, Bengali. Print	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3687_0539
123	3687	540	en,ben,fas	215,600,325	Calcutta Gazette; English, Persian, Bengali. Print	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_3687_0540
